location_code,location_name,location_level,language_code,language_name,language_rank,proportion_value,reliability_score,dataset_name,url,source,datetime_published,date_creation,representivity_rating
MZ06,Maputo City,1,chan1318,Changana,2,0.17150663064832988,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ06,Maputo City,1,port1283,Portuguese,1,0.810381876227898,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ06,Maputo City,1,rong1268,Ronga,3,0.01811149312377212,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,gito1238,Gitonga,3,0.20179967850356556,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,chan1318,Changana,5,0.014997813531402117,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,bama1251,Bamali,4,0.1189053172240996,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,port1283,Portuguese,2,0.2935467938231956,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,ndau1241,Ndau,6,0.014127774624884308,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ03,Inhambane,1,tswa1255,Tswa,1,0.3566226222928528,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
MZ10,Tete,1,port1283,Portuguese,1,0.3768864440302225,0.56506,Mozambique Round 9 data (2023),https://www.afrobarometer.org/wp-content/uploads/2024/09/MOZ_R9.data_.final_.wtd_release.20Jun24.sav,AfroBarometer,06-20-2024,05-29-2025 17:41:31,moderate
